"Sample_ID","NMF_OTU_K3","DIANA_CUTREE_K3","PH_RANGE_K3","NMF_LOG_OTU_K3","RANDOM_K3","RANDOM_2_K3","CARDINAL_DIRECTION_K3","MCQUITTY_CUTREE_K3","KMEANS_PCA_ENV_K3","KMEANS_DIST_K3"
"SRR900226",1,1,1,1,1,1,2,3,1,2
"SRR901032",0,1,1,0,1,1,2,3,1,2
"SRR901079",1,1,1,1,2,1,2,3,1,3
"SRR901080",1,1,1,1,3,3,2,1,1,2
"SRR901081",1,1,1,1,3,3,2,3,1,3
"SRR901082",1,1,1,1,3,2,2,3,1,2
"SRR901083",2,1,2,1,3,2,3,3,3,3
"SRR901084",1,1,2,1,3,3,3,3,3,3
"SRR901085",1,1,2,1,3,2,3,3,3,2
"SRR901086",1,2,2,1,1,2,3,2,3,3
"SRR901087",1,2,2,1,1,3,3,2,3,3
"SRR901088",1,2,2,1,1,1,3,2,3,3
"SRR901089",1,2,2,1,2,3,3,2,3,3
"SRR901090",1,2,2,1,3,1,3,2,3,3
"SRR901091",1,2,2,1,3,3,3,2,3,3
"SRR901092",3,1,1,2,2,2,1,0,1,0
"SRR901093",2,1,1,2,3,2,1,1,1,2
"SRR901094",3,1,1,3,1,3,1,1,1,1
"SRR901095",2,1,1,2,1,3,1,3,1,2
"SRR901096",0,1,1,0,2,1,1,1,1,1
"SRR901097",1,1,1,2,2,1,1,1,1,2
"SRR901098",2,1,1,2,2,1,1,1,1,2
"SRR901099",0,1,1,0,2,2,1,1,1,2
"SRR901100",3,1,1,3,3,1,1,1,1,1
"SRR901101",2,1,1,2,3,1,1,1,1,1
"SRR901102",2,1,1,2,1,1,1,1,1,2
"SRR901103",0,1,1,0,1,2,1,1,1,1
"SRR901104",2,1,1,2,2,2,1,3,1,2
"SRR901105",0,1,1,0,2,3,1,3,1,2
"SRR901106",0,1,1,0,3,2,1,1,2,1
"SRR901107",3,1,1,3,3,1,1,1,2,1
"SRR901108",2,2,1,2,1,2,1,1,1,2
"SRR901109",2,1,1,2,3,3,1,1,1,2
"SRR901110",0,1,1,0,3,1,1,1,1,2
"SRR901111",1,1,1,3,2,2,1,1,2,1
"SRR901112",2,1,1,2,3,2,1,3,1,2
"SRR901113",2,1,1,2,1,3,1,1,1,2
"SRR901114",2,1,1,2,3,2,1,1,1,1
"SRR901115",1,1,1,1,1,3,1,1,2,1
"SRR901116",2,1,1,2,2,2,1,1,1,2
"SRR901117",0,1,1,0,1,3,1,1,2,1
"SRR901118",1,1,1,1,1,2,1,1,2,1
"SRR901119",1,1,3,1,3,2,3,3,3,3
"SRR901120",1,1,3,1,1,2,3,3,3,3
"SRR901121",1,1,3,1,2,1,3,2,3,3
"SRR901122",1,1,3,1,3,2,3,3,3,3
"SRR901123",1,1,3,1,1,1,3,3,3,3
"SRR901124",1,1,3,1,3,2,3,3,3,2
"SRR901125",1,1,3,1,1,1,3,3,3,3
"SRR901126",2,1,3,1,3,2,3,3,3,3
"SRR901127",1,1,3,1,1,1,3,3,3,3
"SRR901128",3,3,1,3,2,1,1,1,2,1
"SRR901129",3,3,1,3,3,3,1,1,2,1
"SRR901130",1,3,1,3,2,3,1,1,2,1
"SRR901131",3,3,1,3,2,1,1,1,2,1
"SRR901132",3,3,1,3,3,2,1,1,2,1
"SRR901133",3,3,1,3,1,1,1,1,2,1
"SRR901134",1,3,1,2,3,2,1,1,1,1
"SRR901135",3,3,1,3,2,1,1,1,2,1
"SRR901136",1,3,1,3,2,2,1,1,2,1
"SRR901137",2,3,1,3,1,2,1,1,1,2
"SRR901138",2,3,1,2,2,3,1,1,2,1
"SRR901139",3,3,1,3,2,3,1,1,2,1
"SRR901140",1,3,1,2,1,3,1,1,1,1
"SRR901141",2,3,1,2,1,3,1,1,2,1
"SRR901142",1,3,1,3,1,3,1,1,2,1
"SRR901143",1,3,1,2,2,3,1,1,2,1
"SRR901144",3,3,1,3,2,2,1,1,2,1
