"colnamei","colnamen","jacdist"
"NMF_OTU_K3","NMF_OTU_K3","1"
"NMF_OTU_K3","DIANA_CUTREE_K3","0.236588720770289"
"NMF_OTU_K3","PH_RANGE_K3","0.220588235294118"
"NMF_OTU_K3","NMF_LOG_OTU_K3","0.503432494279176"
"NMF_OTU_K3","RANDOM_K3","0.181219110378913"
"NMF_OTU_K3","RANDOM_2_K3","0.183237469186524"
"NMF_OTU_K3","CARDINAL_DIRECTION_K3","0.255378209576683"
"NMF_OTU_K3","MCQUITTY_CUTREE_K3","0.217328519855596"
"NMF_OTU_K3","KMEANS_PCA_ENV_K3","0.260051325919589"
"NMF_OTU_K3","KMEANS_DIST_K3","0.264084507042254"
"DIANA_CUTREE_K3","DIANA_CUTREE_K3","1"
"DIANA_CUTREE_K3","PH_RANGE_K3","0.400233372228705"
"DIANA_CUTREE_K3","NMF_LOG_OTU_K3","0.277448071216617"
"DIANA_CUTREE_K3","RANDOM_K3","0.253914227365555"
"DIANA_CUTREE_K3","RANDOM_2_K3","0.250338294993234"
"DIANA_CUTREE_K3","CARDINAL_DIRECTION_K3","0.335542168674699"
"DIANA_CUTREE_K3","MCQUITTY_CUTREE_K3","0.375821287779238"
"DIANA_CUTREE_K3","KMEANS_PCA_ENV_K3","0.37701317715959"
"DIANA_CUTREE_K3","KMEANS_DIST_K3","0.311522048364154"
"PH_RANGE_K3","PH_RANGE_K3","1"
"PH_RANGE_K3","NMF_LOG_OTU_K3","0.273936170212766"
"PH_RANGE_K3","RANDOM_K3","0.260681114551084"
"PH_RANGE_K3","RANDOM_2_K3","0.258939580764488"
"PH_RANGE_K3","CARDINAL_DIRECTION_K3","0.749637155297533"
"PH_RANGE_K3","MCQUITTY_CUTREE_K3","0.604488078541374"
"PH_RANGE_K3","KMEANS_PCA_ENV_K3","0.505805515239477"
"PH_RANGE_K3","KMEANS_DIST_K3","0.423184357541899"
"NMF_LOG_OTU_K3","NMF_LOG_OTU_K3","1"
"NMF_LOG_OTU_K3","RANDOM_K3","0.18499127399651"
"NMF_LOG_OTU_K3","RANDOM_2_K3","0.162830349531117"
"NMF_LOG_OTU_K3","CARDINAL_DIRECTION_K3","0.378679395385839"
"NMF_LOG_OTU_K3","MCQUITTY_CUTREE_K3","0.301535974130962"
"NMF_LOG_OTU_K3","KMEANS_PCA_ENV_K3","0.379072063178677"
"NMF_LOG_OTU_K3","KMEANS_DIST_K3","0.355932203389831"
"RANDOM_K3","RANDOM_K3","1"
"RANDOM_K3","RANDOM_2_K3","0.198707592891761"
"RANDOM_K3","CARDINAL_DIRECTION_K3","0.25118163403106"
"RANDOM_K3","MCQUITTY_CUTREE_K3","0.22956645344705"
"RANDOM_K3","KMEANS_PCA_ENV_K3","0.20684168655529"
"RANDOM_K3","KMEANS_DIST_K3","0.188755020080321"
"RANDOM_2_K3","RANDOM_2_K3","1"
"RANDOM_2_K3","CARDINAL_DIRECTION_K3","0.240160106737825"
"RANDOM_2_K3","MCQUITTY_CUTREE_K3","0.225988700564972"
"RANDOM_2_K3","KMEANS_PCA_ENV_K3","0.195447409733124"
"RANDOM_2_K3","KMEANS_DIST_K3","0.187849720223821"
"CARDINAL_DIRECTION_K3","CARDINAL_DIRECTION_K3","1"
"CARDINAL_DIRECTION_K3","MCQUITTY_CUTREE_K3","0.654874213836478"
"CARDINAL_DIRECTION_K3","KMEANS_PCA_ENV_K3","0.503974562798092"
"CARDINAL_DIRECTION_K3","KMEANS_DIST_K3","0.491157556270096"
"MCQUITTY_CUTREE_K3","MCQUITTY_CUTREE_K3","1"
"MCQUITTY_CUTREE_K3","KMEANS_PCA_ENV_K3","0.385277995301488"
"MCQUITTY_CUTREE_K3","KMEANS_DIST_K3","0.472789115646259"
"KMEANS_PCA_ENV_K3","KMEANS_PCA_ENV_K3","1"
"KMEANS_PCA_ENV_K3","KMEANS_DIST_K3","0.506944444444444"
"KMEANS_DIST_K3","KMEANS_DIST_K3","1"
