"Run_Number","Sample_Location_Name","Conductivity","Air_Relative_Humidity","Elevation","pH","Depth","NMF_OTU_K3","DIANA_CUTREE_K3","PH_RANGE_K3","NMF_LOG_OTU_K3","RANDOM_K3","RANDOM_2_K3","CARDINAL_DIRECTION_K3","MCQUITTY_CUTREE_K3","RANDOM_K4","RANDOM_2_K4","PH_RANGE_PH7_DEPTH_MIX_K4","NMF_LOG_OTU_K4","DIANA_CUTREE_K4","PH_RANGE_K4","MCQUITTY_CUTREE_K4","KMEANS_PCA_ENV_K3","KMEANS_PCA_ENV_K4","KMEANS_DIST_K4","KMEANS_DIST_K3","NUMERIC_LOCATION_NAME_K6"
"SRR900226","AC",2.21,58,1888,7.5,5,1,1,1,1,1,1,2,3,1,4,1,2,4,4,4,1,2,4,2,1
"SRR901032","AC",1.56,58,1888,7.7,0,0,1,1,0,1,1,2,3,1,3,4,0,4,4,4,1,2,4,2,1
"SRR901079","AC",0.9,58,1888,7.8,5,1,1,1,1,2,1,2,3,4,3,1,3,4,4,4,1,2,4,3,1
"SRR901080","AC",0.06,58,1888,7.8,0,1,1,1,1,3,3,2,1,2,4,4,3,4,4,2,1,2,2,2,1
"SRR901081","AC",0.15,58,1888,8.3,5,1,1,1,1,3,3,2,3,1,2,1,1,4,4,4,1,2,4,3,1
"SRR901082","AC",0.28,58,1888,7.5,0,1,1,1,1,3,2,2,3,3,2,4,2,4,4,4,1,2,4,2,1
"SRR901083","AL",0.04,70,936,9.4,5,2,1,2,1,3,2,3,3,4,4,3,3,4,3,4,2,3,3,3,2
"SRR901084","AL",0.03,70,936,9.2,10,1,1,2,1,3,3,3,3,4,1,3,3,4,3,4,2,3,3,3,2
"SRR901085","AL",0.12,70,936,9.1,0,1,1,2,1,3,2,3,3,3,2,3,3,4,3,4,2,1,4,2,2
"SRR901086","AL",0.02,70,936,8.9,5,1,2,2,1,1,2,3,2,3,3,3,3,4,3,3,2,3,3,3,2
"SRR901087","AL",0.02,70,936,8.9,10,1,2,2,1,1,3,3,2,1,4,3,3,3,3,3,2,3,3,3,2
"SRR901088","AL",0.03,70,936,8.4,0,1,2,2,1,1,1,3,2,2,4,3,4,3,3,3,2,1,3,3,2
